Time[MJD],RV_C[m/s],eRV_C[m/s],RV_A[m/s],eRV_A[m/s]
58715.48747,0.8029545870815076,0.435,-1.1019545870815075,NaN
58719.46914,-0.5000856660605886,0.368,-1.5459143339394112,NaN
58719.47181,-0.09070378742615093,0.408,-1.546296212573849,NaN
58720.49718,-0.4512972389491372,0.41,-1.6857027610508628,NaN
58764.39945,-0.9147220981047892,0.332,0.5947220981047892,NaN
58764.40115,-0.444846213748192,0.373,0.594846213748192,NaN
58764.40292,1.871025205304405,0.335,0.5949747946955952,NaN
58772.44738,-0.7348800764762944,0.37,-1.1691199235237055,NaN
58772.45,1.0732703877683647,0.309,-1.1692703877683648,NaN
58772.45265,-0.38257782178062816,0.336,-1.1694221782193719,NaN
58780.34971,-0.43019391137819873,0.307,-1.9338060886218011,NaN
58780.35267,0.4127921280532212,0.329,-1.9347921280532212,NaN
58780.3554,0.353701758987395,0.305,-1.935701758987395,NaN
58781.43182,-0.2193926262374286,0.33,-2.2956073737625715,NaN
58781.43564,-0.044164370953789334,0.311,-2.296835629046211,NaN
58781.43959,0.21410491339922721,0.329,-2.2981049133992273,NaN
58788.44177,-0.2894463019281006,0.344,-0.9605536980718994,NaN
58788.44291,-0.67235813828706,0.326,-0.9596418617129399,NaN
58788.44387,-0.8681261607767898,0.328,-0.9588738392232101,NaN
58794.40027,-0.03630033104699759,0.288,3.7443003310469978,NaN
58794.40185,0.7236162527387537,0.32,3.7443837472612462,NaN
58794.40343,0.652534037807416,0.305,3.744465962192584,NaN
58794.40508,-0.32655053707368387,0.318,3.744550537073684,NaN
58795.39316,-0.482714262762006,0.299,3.556714262762006,NaN
58795.39562,-0.6156549384320509,0.292,3.555654938432051,NaN
58795.39822,1.7164677957876386,0.287,3.5545322042123613,NaN
58795.40298,0.10353157636875077,0.291,3.5524684236312494,NaN
58796.33969,-0.48673454961144325,0.3,2.9487345496114434,NaN
58796.34118,0.351515373910142,0.315,2.947484626089858,NaN
58796.3427,-0.43920868181279804,0.317,2.946208681812798,NaN
58796.34421,-1.2899402778909368,0.316,2.944940277890937,NaN
58797.386,-0.33211514049724156,0.307,1.8991151404972415,NaN
58797.38702,0.34004146563827264,0.314,1.8979585343617273,NaN
58797.38807,1.706232285493246,0.315,1.8967677145067543,NaN
58797.38912,-0.5375766961546744,0.312,1.8955766961546745,NaN
58798.21654,0.3716581674550743,0.33,0.9153418325449256,NaN
58798.21966,0.717435924446642,0.315,0.911564075553358,NaN
58798.22227,-0.4874038023637082,0.316,0.9084038023637082,NaN
58798.22471,0.3945506539825867,0.303,0.9054493460174133,NaN
58833.32824,0.5039525481154261,0.29,1.3270474518845738,NaN
58833.33423,0.4658146398379239,0.311,1.327185360162076,NaN
58833.33971,0.01169515772894214,0.293,1.3273048422710578,NaN
58833.34481,-0.38841030080732775,0.298,1.3274103008073277,NaN
58850.19905,-1.7015761918723928,0.388,-0.9804238081276071,NaN
58850.20142,-0.2484948476609422,0.35,-0.9815051523390578,NaN
58850.20398,0.4376738095970333,0.366,-0.9826738095970333,NaN
58850.20669,0.9839116461629782,0.376,-0.9839116461629782,NaN
58852.12932,-0.33421113807420055,0.36,-1.9207888619257993,NaN
58852.13153,0.04678615637990413,0.333,-1.9217861563799041,NaN
58852.13396,1.5178821417029835,0.355,-1.9228821417029835,NaN
58852.13624,0.8989099130873361,0.332,-1.923909913087336,NaN
58872.17204,0.8741444068422377,0.315,-1.3021444068422376,NaN
58872.17373,-0.5489055294377481,0.316,-1.302094470562252,NaN
58872.17554,1.3020408972599609,0.34,-1.3020408972599609,NaN
58872.17756,-2.105019003213206,0.302,-1.3019809967867941,NaN
58884.15515,-0.43515726757974216,0.299,1.4591572675797422,NaN
58884.15962,-0.6712551398714866,0.324,1.4592551398714866,NaN
58884.16504,-0.25836933923749417,0.304,1.4593693392374942,NaN
58884.17063,1.0785180158446916,0.319,1.4594819841553082,NaN
59088.4976,1.4472139466732257,0.391,0.9337860533267741,NaN
59088.49898,-1.4519347196229393,0.417,0.9339347196229393,NaN
59090.49161,0.4607272727042053,0.406,1.8222727272957946,NaN
59097.49898,1.1800994180171323,0.397,4.760900581982868,NaN
59097.50194,0.26586180400875925,0.382,4.756138195991241,NaN
59099.47769,-0.0555572100837034,0.301,1.1025572100837033,NaN
59099.47904,0.1598581095011451,0.354,1.100141890498855,NaN
59099.48034,0.6681833548974281,0.309,1.097816645102572,NaN
59109.46976,-0.7493132064729418,0.321,4.257313206472942,NaN
59109.47148,-0.14462380940027852,0.316,4.257623809400279,NaN
59109.47318,0.827070101064133,0.329,4.257929898935867,NaN
59118.4416,-0.43639936821144687,0.341,-2.204600631788553,NaN
59118.44318,0.7007874889989494,0.334,-2.2057874889989493,NaN
59118.44472,-1.6350563576969788,0.348,-2.2069436423030213,NaN
59119.43655,0.8550048184605721,0.322,-2.808004818460572,NaN
59119.43812,0.4647191276627418,0.322,-2.8087191276627417,NaN
59119.43963,-0.21259458575195378,0.333,-2.809405414248046,NaN
59120.48103,-0.5707479902364168,0.338,-3.115252009763583,NaN
59120.48295,-0.9954852123155109,0.372,-3.115514787684489,NaN
59120.48488,0.3017778614066251,0.356,-3.115777861406625,NaN
59121.39236,0.5614110215920398,0.314,-3.1264110215920398,NaN
59121.39491,0.05914117632320659,0.321,-3.1261411763232068,NaN
59121.39752,0.5938633503884514,0.315,-3.1258633503884514,NaN
59122.42977,-0.1985916553980167,0.305,-2.895408344601983,NaN
59122.43072,-1.4909074616929447,0.331,-2.8950925383070554,NaN
59122.43168,0.06677322487475967,0.319,-2.8947732248747595,NaN
59123.49464,0.6758469943661105,0.286,-2.4318469943661105,NaN
59123.49591,-0.7918348436403635,0.311,-2.4311651563596364,NaN
59123.4972,-0.23552773379108594,0.287,-2.430472266208914,NaN
59132.48113,-1.0556349868468518,0.341,5.966634986846851,NaN
59132.48223,0.9660843873762168,0.331,5.966915612623783,NaN
59132.48345,0.6107736313662846,0.333,5.967226368633716,NaN
59146.28495,1.0801995226580612,0.355,4.329800477341939,NaN
59146.28679,0.6171190154357102,0.349,4.3288809845642895,NaN
59146.29613,-0.7831931951666342,0.352,4.324193195166634,NaN
59146.29816,-1.1291698231170209,0.366,4.323169823117021,NaN
59152.37848,-0.701369530341073,0.338,-4.832630469658927,NaN
59152.38056,-0.9762846922050121,0.327,-4.835715307794988,NaN
59152.38236,1.6063829603508504,0.329,-4.838382960350851,NaN
59153.40521,-0.6157176233693127,0.333,-6.0232823766306876,NaN
59153.40743,-1.1859448732601887,0.391,-6.025055126739812,NaN
59153.45134,-0.23565255069228996,0.385,-6.05934744930771,NaN
59153.45239,1.2081494417986116,0.35,-6.060149441798612,NaN
59153.45341,0.3969277120981882,0.393,-6.060927712098188,NaN
59156.36598,0.048279597761967,0.448,-5.068279597761967,NaN
59156.4099,0.5983163122021642,0.361,-5.012316312202164,NaN
59156.41262,-0.7231754428632886,0.348,-5.008824557136712,NaN
59156.4152,0.35150976535111056,0.373,-5.0055097653511105,NaN
59168.29652,0.02129136832333378,0.3,-0.02129136832333378,NaN
59179.33322,-0.38629860488226364,0.286,1.6902986048822637,NaN
59179.33535,1.3545358480798906,0.317,1.6904641519201093,NaN
59179.33756,1.299363511773747,0.314,1.6906364882262532,NaN
59180.22791,-0.9565737155642069,0.318,1.8075737155642069,NaN
59180.23081,-0.9141068409022152,0.306,1.8081068409022152,NaN
59180.23355,0.15938857280285013,0.306,1.8086114271971498,NaN
