Time[MJD],RV_C[m/s],eRV_C[m/s],RV_A[m/s],eRV_A[m/s]
58764.47491,2.8368357287918213,0.324,0.49516427120817874,NaN
58764.47689,1.3458578164189159,0.34,0.4951421835810841,NaN
58764.47882,4.1648840508756715,0.314,0.49511594912432866,NaN
58771.41509,-1.41962814554513,0.345,0.19262814554512997,NaN
58771.41686,-1.765799497836547,0.327,0.19479949783654704,NaN
58771.41851,-1.0958251807531783,0.317,0.19682518075317834,NaN
58772.47204,1.4634586760097945,0.313,1.3385413239902055,NaN
58772.47469,-1.015871051022139,0.307,1.339871051022139,NaN
58772.47731,-0.5001735488732777,0.309,1.3411735488732777,NaN
58773.45429,0.2874463726091643,0.308,1.0085536273908358,NaN
58773.46055,-0.09029370721523444,0.367,1.0022937072152345,NaN
58773.469,0.16120239894532373,0.314,0.9937976010546763,NaN
58778.42209,0.017767218644103244,0.366,-0.017767218644103244,NaN
58778.4306,-1.3644555960426596,0.313,-0.01854440395734025,NaN
58778.43686,-0.6578499383399632,0.304,-0.019150061660036855,NaN
58780.38942,1.1150390009919438,0.43,-0.4370390009919437,NaN
58780.39396,-0.5789849293686158,0.319,-0.4360150706313841,NaN
58780.39893,0.4338822634178283,0.315,-0.4348822634178283,NaN
58781.44548,1.3355321647408598,0.326,-0.1615321647408598,NaN
58781.44906,2.101236592508085,0.328,-0.16123659250808486,NaN
58781.45202,0.5529981189892414,0.353,-0.16099811898924143,NaN
58785.43055,-0.9003430879904271,0.314,-0.393656912009573,NaN
58785.43284,1.9767142965582014,0.335,-0.39371429655820156,NaN
58785.43499,-0.806230724400154,0.298,-0.393769275599846,NaN
58785.43707,0.21882347997995405,0.34,-0.39382347997995404,NaN
58785.43923,0.06188082500095715,0.339,-0.39388082500095717,NaN
58788.46608,-0.9920305603959831,0.321,-0.5609694396040168,NaN
58788.46722,1.6039832691342566,0.356,-0.5609832691342567,NaN
58788.46822,0.3819954454992512,0.333,-0.5609954454992512,NaN
58788.46921,-0.17499245829434817,0.345,-0.5610075417056518,NaN
58794.42079,0.33142804725923414,0.338,-0.5874280472592341,NaN
58794.42234,0.3214815141958389,0.331,-0.5874815141958389,NaN
58794.42392,2.9665361338765788,0.363,-0.5875361338765785,NaN
58794.42523,-0.054418490678487585,0.343,-0.5875815093215124,NaN
58795.41694,-0.26546227772238373,0.315,-0.5755377222776162,NaN
58795.41909,-0.43074963352369566,0.327,-0.5752503664763043,NaN
58795.4214,-0.1620601659912675,0.354,-0.5749398340087325,NaN
58795.42393,-0.40040240286181894,0.317,-0.574597597138181,NaN
58796.35806,0.04462405793574181,0.352,-0.3536240579357418,NaN
58796.36011,-1.2608477726119758,0.323,-0.35315222738802443,NaN
58796.36167,1.686793988386135,0.31,-0.35279398838613485,NaN
58796.36314,-0.7435429372735527,0.332,-0.3524570627264474,NaN
58797.40017,2.1271063365752316,0.333,-0.3381063365752317,NaN
58797.40113,0.15628024489714726,0.373,-0.33828024489714725,NaN
58797.4021,0.18945615378525496,0.345,-0.33845615378525495,NaN
58797.40302,-0.5173768298357806,0.321,-0.33862317016421933,NaN
58802.48124,0.14854377638307686,0.37,-0.09554377638307687,NaN
58802.48383,1.9904394345073064,0.346,-0.0954394345073063,NaN
58802.48776,-0.6537129839909461,0.383,-0.09528701600905387,NaN
58802.49283,-0.5758990870829361,0.375,-0.09510091291706396,NaN
58827.367,-0.4463328430189078,0.317,-0.47266715698109224,NaN
58827.37036,0.19924684469348602,0.318,-0.47224684469348605,NaN
58827.37377,0.39181986339899216,0.305,-0.4718198633989922,NaN
58827.37739,-0.3166338432035718,0.317,-0.47136615679642824,NaN
58828.31089,2.5484347590501986,0.332,-0.42443475905019856,NaN
58828.31325,1.0466563102738085,0.325,-0.42465631027380835,NaN
58828.31536,-0.3101438908909696,0.332,-0.4248561091090304,NaN
58829.32568,-0.9860229915244435,0.326,-0.6089770084755565,NaN
58829.32809,0.27432502800719466,0.345,-0.6093250280071947,NaN
58829.33029,0.8676411599175919,0.35,-0.6096411599175919,NaN
58829.33217,-1.0410898762718703,0.329,-0.6099101237281297,NaN
58833.35168,0.033123278951249,0.308,-0.43912327895124903,NaN
58833.35651,-2.157908079507103,0.316,-0.43909192049289686,NaN
58833.36147,-0.6039412864534377,0.335,-0.43905871354656223,NaN
58833.36616,0.43902637791024135,0.316,-0.43902637791024135,NaN
58850.2879,-0.6233975586313869,0.344,-0.21160244136861306,NaN
58850.29088,-2.2749713162416487,0.343,-0.21102868375835146,NaN
58850.29423,-2.2786190172566823,0.358,-0.2103809827433175,NaN
58850.29805,0.3436389116016459,0.349,-0.20963891160164588,NaN
58852.18936,-0.013864158030548968,0.358,0.20586415803054897,NaN
58852.19064,-1.1836548636898852,0.34,0.20565486368988523,NaN
58852.19196,-0.7014377479965832,0.36,0.20543774799658315,NaN
58852.1934,0.6938005882150664,0.349,0.20519941178493367,NaN
58853.31405,2.205813159692687,0.341,-0.2568131596926872,NaN
58853.31549,-0.8925813907513617,0.322,-0.25741860924863824,NaN
58853.31702,-1.9459390257559084,0.324,-0.2580609742440918,NaN
58853.31847,1.2126688692533896,0.316,-0.25866886925338967,NaN
58859.31832,0.6900378493707011,0.329,-0.47103784937070114,NaN
58859.32041,0.7151900826328162,0.319,-0.47119008263281625,NaN
58859.32254,-0.9806550560182781,0.325,-0.4713449439817219,NaN
58861.32404,-2.368070653077522,0.333,-0.5359293469224775,NaN
58861.37135,-1.348229088923022,0.342,-0.532770911076978,NaN
58861.37553,0.18347148116581224,0.335,-0.5324714811658122,NaN
58861.37925,-2.593797774942468,0.348,-0.5322022250575318,NaN
58861.38226,-0.478017554657143,0.31,-0.531982445342857,NaN
58872.19204,-0.7747025830896768,0.317,0.2767025830896767,NaN
58872.19395,-0.051724637643685095,0.343,0.2767246376436851,NaN
58872.19585,-1.1107448096782337,0.349,0.2767448096782338,NaN
58872.19788,-0.9907644143533496,0.348,0.27676441435334964,NaN
58881.18335,-3.2290268563543423,0.34,-0.8309731436456573,NaN
58881.18549,-0.373038775303822,0.336,-0.830961224696178,NaN
58881.18748,0.07994744642904505,0.313,-0.8309474464290451,NaN
58881.18944,-0.6450686619775949,0.322,-0.830931338022405,NaN
58881.19195,-0.5070929674676445,0.316,-0.8309070325323555,NaN
58884.17861,0.02116411691468001,0.309,-0.38116411691468,NaN
58884.18312,0.8830222641081867,0.319,-0.38102226410818674,NaN
58884.18812,0.1458608449127396,0.304,-0.3808608449127396,NaN
58884.19407,-0.0593369543939708,0.33,-0.3806630456060292,NaN
58907.10646,1.989333774767754,0.358,-0.14233377476775394,NaN
58907.12601,0.4503978624375078,0.332,-0.14339786243750782,NaN
58908.15468,0.2998994793406369,0.319,-0.1458994793406369,NaN
58908.15783,-0.6682555018236744,0.325,-0.14574449817632545,NaN
58908.16038,-1.869381533889023,0.333,-0.14561846611097717,NaN
58913.09764,-2.8602381811497786,0.329,-0.31376181885022114,NaN
58913.09905,0.6407954551874111,0.335,-0.31379545518741103,NaN
58913.10046,-0.6341715353371358,0.328,-0.3138284646628642,NaN
59064.47711,-2.054910942818278,0.357,0.19191094281827814,NaN
59064.48161,-1.261489788448996,0.364,0.191489788448996,NaN
59065.47259,-0.43463727618663045,0.335,0.30663727618663045,NaN
59065.47797,1.081877188900862,0.325,0.30812281109913797,NaN
59074.48575,0.5628307176246757,0.418,0.7611692823753243,NaN
59074.48814,2.0288076345864337,0.411,0.7611923654135662,NaN
59087.49417,-1.256846216819459,0.441,1.070846216819459,NaN
59087.49551,-1.8017835675511589,0.431,1.070783567551159,NaN
59087.49686,-1.1157198796962984,0.43,1.0707198796962984,NaN
59088.4921,1.1764878385973938,0.435,0.9265121614026064,NaN
59088.49341,1.4156872429079144,0.436,0.9263127570920857,NaN
59088.49479,-0.7581030493342946,0.42,0.9261030493342947,NaN
59090.48338,-0.5263630768778826,0.37,1.0423630768778827,NaN
59090.48586,-1.6815154711810725,0.377,1.0425154711810725,NaN
59090.48744,0.5083881862989146,0.392,1.0426118137010854,NaN
59095.50024,1.3777873299258405,0.326,3.4712126700741597,NaN
59095.50189,0.05287089729092731,0.329,3.4711291027090727,NaN
59097.48774,0.20374272856267472,0.361,1.0072572714373254,NaN
59097.49128,-0.11658099254346721,0.353,1.0065809925434672,NaN
59097.49473,1.391054337024938,0.356,1.0059456629750618,NaN
59098.49714,0.6110646580364782,0.356,1.2739353419635218,NaN
59098.49909,1.7757438327268242,0.344,1.2742561672731756,NaN
59098.50095,0.7404415794279489,0.338,1.2745584205720513,NaN
59099.48693,-1.0269411406575253,0.339,0.9859411406575254,NaN
59099.48831,-1.0222675066421152,0.346,0.9852675066421152,NaN
59101.49552,-3.2705832710485274,0.328,1.1315832710485276,NaN
59109.47733,-1.4432758199490716,0.335,1.1102758199490717,NaN
59109.47895,2.900710977026494,0.336,1.110289022973506,NaN
59109.48075,0.5696967632140573,0.327,1.1103032367859427,NaN
59118.46984,0.6343913002982886,0.335,0.9286086997017113,NaN
59118.47127,1.7870879313982402,0.333,0.92891206860176,NaN
59118.47269,-0.8492139220544946,0.348,0.9292139220544946,NaN
59119.46695,-1.284689254502561,0.323,1.203689254502561,NaN
59119.46846,2.4339319090579896,0.291,1.2040680909420103,NaN
59119.46999,0.6325485086027047,0.319,1.2044514913972952,NaN
59120.48946,1.2476705891344144,0.34,1.3183294108655854,NaN
59120.4917,-2.376139189498855,0.332,1.3181391894988548,NaN
59120.4939,1.8990503877578684,0.327,1.3179496122421317,NaN
59121.44704,0.36927296824392775,0.324,0.9277270317560722,NaN
59121.44855,-0.33169850203511597,0.329,0.926698502035116,NaN
59121.45011,-1.9426355348760171,0.311,0.9256355348760172,NaN
59122.45692,2.9319328756012006,0.336,0.5990671243987995,NaN
59122.45787,2.2045816000379364,0.334,0.5994183999620636,NaN
59122.45885,-0.3427822631744203,0.313,0.5997822631744203,NaN
59123.51486,-0.5291623624675619,0.336,1.2851623624675619,NaN
59123.51605,1.162517349451815,0.323,1.285482650548185,NaN
59123.51721,-1.285792510978554,0.329,1.285792510978554,NaN
59124.48875,-0.8786523385096477,0.308,0.8776523385096477,NaN
59124.49006,0.9332928629119246,0.315,0.8767071370880755,NaN
59124.49134,-0.685784226653124,0.316,0.875784226653124,NaN
59132.48605,0.04213148045060611,0.318,1.438868519549394,NaN
59132.48724,0.8671074478105467,0.328,1.4388925521894533,NaN
59132.48841,1.844084287316603,0.314,1.438915712683397,NaN
59135.47185,3.3667516294325077,0.311,1.3652483705674925,NaN
59135.47292,0.9897550139203841,0.295,1.3652449860796159,NaN
59135.474,-1.1322412934544825,0.327,1.3652412934544826,NaN
59146.26573,-2.9503363788733394,0.33,0.4973363788733396,NaN
59146.26813,0.38867989835070693,0.331,0.4973201016492931,NaN
59146.27035,-3.1313084024369253,0.321,0.49730840243692565,NaN
59146.27257,-1.9102999299925851,0.302,0.4972999299925851,NaN
59146.27486,-2.12229457169553,0.3,0.4972945716955304,NaN
59152.41757,0.8464254412763219,0.314,-2.820425441276322,NaN
59152.41921,-3.0736671233768966,0.336,-2.821332876623103,NaN
59152.42094,0.16127991974466038,0.341,-2.8222799197446604,NaN
59153.42041,1.8334929743311155,0.358,-1.8214929743311155,NaN
59153.42747,1.960085417643899,0.335,-1.807085417643899,NaN
59153.42969,0.09554849532103171,0.355,-1.8025484953210318,NaN
59156.37433,-1.873978424116534,0.35,-1.0340215758834659,NaN
59156.37982,0.8098943322273424,0.351,-1.0338943322273424,NaN
59156.3832,0.2547839690389059,0.369,-1.033783969038906,NaN
59166.29183,-1.1926994773308324,0.337,-2.0003005226691677,NaN
59166.29335,1.429288119036331,0.326,-2.000288119036331,NaN
59166.29477,1.634269681100371,0.32,-2.000269681100371,NaN
59166.29617,-3.539754975258255,0.314,-2.000245024741745,NaN
59178.26947,-0.25075902656502363,0.351,-0.15624097343497634,NaN
59178.27131,-4.409487222383318,0.336,-0.15551277761668225,NaN
59179.43246,0.4689136648729213,0.328,0.5420863351270786,NaN
59179.43392,-1.0323275859667214,0.298,0.5423275859667215,NaN
59179.43535,-1.1595610980874846,0.323,0.5425610980874847,NaN
59180.21478,0.4713933613394732,0.315,0.4036066386605268,NaN
59180.22016,1.865783794959512,0.319,0.40221620504048794,NaN
59180.22352,-0.19835546455545477,0.327,0.4013554645554548,NaN
