time	RV	RVerr	BIS	BISerr	FWHM	FWHMerr
1.000000000000000000e+00	1.408526593842129415e+00	1.173437256145329455e+00	-1.667491087456728138e+01	1.173437256145329455e+00	-4.382665353594253688e+00	1.173437256145329455e+00
3.000000000000000000e+00	5.829291013616910710e-02	1.173437256145329455e+00	4.889648009472892909e+00	1.173437256145329455e+00	1.551517891645877611e+00	1.173437256145329455e+00
4.000000000000000000e+00	-2.643783296917677106e+00	1.173437256145329455e+00	1.013929782474855834e+01	1.173437256145329455e+00	1.252932750157264019e+00	1.173437256145329455e+00
5.000000000000000000e+00	-2.418462737337635282e+00	1.173437256145329455e+00	2.081232704316017745e+01	1.173437256145329455e+00	4.587749165149434205e+00	1.173437256145329455e+00
6.000000000000000000e+00	-4.468898834820066668e+00	1.173437256145329455e+00	3.193514656882764413e+01	1.173437256145329455e+00	6.430570774033389725e+00	1.173437256145329455e+00
9.000000000000000000e+00	-6.403793621164540539e+00	1.173437256145329455e+00	4.221446361304283812e+01	1.173437256145329455e+00	8.158538406781493890e+00	1.173437256145329455e+00
1.200000000000000000e+01	-7.618319590574415656e+00	1.173437256145329455e+00	4.646411091699506102e+01	1.173437256145329455e+00	9.137279066828847718e+00	1.173437256145329455e+00
1.400000000000000000e+01	-3.439226808068190699e+00	1.173437256145329455e+00	4.041676941819210356e+01	1.173437256145329455e+00	1.068072122643515165e+01	1.173437256145329455e+00
1.900000000000000000e+01	-1.084136788370693827e+00	1.173437256145329455e+00	1.187543050234601694e+01	1.173437256145329455e+00	3.670541490324342071e+00	1.173437256145329455e+00
2.100000000000000000e+01	-2.472383604450214989e+00	1.173437256145329455e+00	2.820941511158931991e+00	1.173437256145329455e+00	-4.142711862456771588e-01	1.173437256145329455e+00
2.300000000000000000e+01	3.618548567022016105e+00	1.173437256145329455e+00	-1.300374178160301675e+01	1.173437256145329455e+00	-3.227955270112512487e+00	1.173437256145329455e+00
2.600000000000000000e+01	8.999150313484527430e+00	1.173437256145329455e+00	-3.129767240354654589e+01	1.173437256145329455e+00	-9.020701743667331129e+00	1.173437256145329455e+00
2.700000000000000000e+01	8.948211817179453575e+00	1.173437256145329455e+00	-2.364987774821897659e+01	1.173437256145329455e+00	-6.008871076399946887e+00	1.173437256145329455e+00
2.800000000000000000e+01	2.227817043218666804e+00	1.173437256145329455e+00	-4.723850448165953786e+00	1.173437256145329455e+00	-1.041791287468069704e+00	1.173437256145329455e+00
2.900000000000000000e+01	-1.071837794278448719e+01	1.173437256145329455e+00	2.147011646010286512e+01	1.173437256145329455e+00	4.784630617713304446e+00	1.173437256145329455e+00
3.600000000000000000e+01	-8.368221784511268524e+00	1.173437256145329455e+00	1.585103667912743397e+01	1.173437256145329455e+00	5.003048955979948254e+00	1.173437256145329455e+00
3.900000000000000000e+01	-2.352840640320781418e+01	1.173437256145329455e+00	3.460709138249935535e+01	1.173437256145329455e+00	9.996579575278374818e+00	1.173437256145329455e+00
4.600000000000000000e+01	-2.801878771691416192e-01	1.173437256145329455e+00	1.822247024754601652e+00	1.173437256145329455e+00	1.024492825844343757e+00	1.173437256145329455e+00
4.900000000000000000e+01	1.199145305318876709e+01	1.173437256145329455e+00	-1.692278917433975138e+01	1.173437256145329455e+00	-6.345566514005065883e+00	1.173437256145329455e+00
5.000000000000000000e+01	7.181247102715336617e+00	1.173437256145329455e+00	-7.035415375893646406e+00	1.173437256145329455e+00	-1.890876863732494417e+00	1.173437256145329455e+00
5.600000000000000000e+01	-5.437713182373404841e+00	1.173437256145329455e+00	6.406970706050481468e+00	1.173437256145329455e+00	2.339297929762244710e+00	1.173437256145329455e+00
6.000000000000000000e+01	-1.701195016441539565e+01	1.173437256145329455e+00	2.401484221764325966e+01	1.173437256145329455e+00	1.027020145622019776e+01	1.173437256145329455e+00
6.800000000000000000e+01	7.822796083463893879e+00	1.173437256145329455e+00	-9.015958590144844464e+00	1.173437256145329455e+00	-3.556574792664410900e+00	1.173437256145329455e+00
6.900000000000000000e+01	4.877862563049772948e-02	1.173437256145329455e+00	-2.200736081928666543e+00	1.173437256145329455e+00	-1.473367245385464930e+00	1.173437256145329455e+00
7.000000000000000000e+01	-2.075652767866263737e+00	1.173437256145329455e+00	7.014413894012435868e+00	1.173437256145329455e+00	4.081977024927450515e+00	1.173437256145329455e+00
7.900000000000000000e+01	-1.091069190366350750e+00	1.173437256145329455e+00	7.474386599707024459e+00	1.173437256145329455e+00	4.680550450832258846e+00	1.173437256145329455e+00
8.000000000000000000e+01	1.794033593490141687e+00	1.173437256145329455e+00	2.434507426772891225e+00	1.173437256145329455e+00	2.223998574221656810e+00	1.173437256145329455e+00
8.600000000000000000e+01	1.121695997358814312e+00	1.173437256145329455e+00	-2.924043574918022692e+00	1.173437256145329455e+00	-1.443800867907917063e+00	1.173437256145329455e+00
9.300000000000000000e+01	-2.794087649266471018e+00	1.173437256145329455e+00	-8.455769679325175758e+00	1.173437256145329455e+00	-5.243166010024338242e+00	1.173437256145329455e+00
9.700000000000000000e+01	-9.364310678859251169e+00	1.173437256145329455e+00	-1.255949809543931117e+01	1.173437256145329455e+00	-8.355686080342609401e+00	1.173437256145329455e+00
9.800000000000000000e+01	-7.541460955779045960e+00	1.173437256145329455e+00	-8.892756385929615703e+00	1.173437256145329455e+00	-5.878282816296242608e+00	1.173437256145329455e+00
9.900000000000000000e+01	-1.049533439096266285e+00	1.173437256145329455e+00	-1.175794619543623742e+00	1.173437256145329455e+00	-3.423227150093044457e-02	1.173437256145329455e+00
1.040000000000000000e+02	1.141068906816513007e+01	1.173437256145329455e+00	7.229807960344422746e+00	1.173437256145329455e+00	5.112539730121376635e+00	1.173437256145329455e+00
1.050000000000000000e+02	9.465848530975804920e+00	1.173437256145329455e+00	5.742899461258089922e+00	1.173437256145329455e+00	4.236116150417463366e+00	1.173437256145329455e+00
1.070000000000000000e+02	-4.099363770574750987e+00	1.173437256145329455e+00	-2.109776789135004993e+00	1.173437256145329455e+00	-1.547630969582440397e+00	1.173437256145329455e+00
1.090000000000000000e+02	-7.998326301988369025e+00	1.173437256145329455e+00	-3.267011477326079216e+00	1.173437256145329455e+00	-2.261768733636151385e+00	1.173437256145329455e+00
1.130000000000000000e+02	-3.079106068780228966e+01	1.173437256145329455e+00	-1.252942162606686338e+01	1.173437256145329455e+00	-1.003954264263182061e+01	1.173437256145329455e+00
1.150000000000000000e+02	-2.499287561111992417e+01	1.173437256145329455e+00	-9.224143880437615906e+00	1.173437256145329455e+00	-7.434295680734376077e+00	1.173437256145329455e+00
1.170000000000000000e+02	-1.669731234735994363e+01	1.173437256145329455e+00	-6.098967091406550800e+00	1.173437256145329455e+00	-5.082796279312779220e+00	1.173437256145329455e+00
1.220000000000000000e+02	2.689424204254704165e+01	1.173437256145329455e+00	9.168351012084725582e+00	1.173437256145329455e+00	8.041563001178706926e+00	1.173437256145329455e+00
1.230000000000000000e+02	2.547151024896398397e+01	1.173437256145329455e+00	5.893201094218562197e+00	1.173437256145329455e+00	4.757531985636039629e+00	1.173437256145329455e+00
1.240000000000000000e+02	2.240621625562226527e+01	1.173437256145329455e+00	5.801710901554098854e+00	1.173437256145329455e+00	4.930235586625398625e+00	1.173437256145329455e+00
1.280000000000000000e+02	-2.029178262696355040e-01	1.173437256145329455e+00	-6.238299990961275743e-01	1.173437256145329455e+00	-6.358183915278297071e-01	1.173437256145329455e+00
1.330000000000000000e+02	-3.165947269360295468e+00	1.173437256145329455e+00	-1.464415246711209928e+00	1.173437256145329455e+00	-1.495242110482517539e+00	1.173437256145329455e+00
1.350000000000000000e+02	-1.840038438706827151e+01	1.173437256145329455e+00	-7.914575125892835850e+00	1.173437256145329455e+00	-8.432560223812016531e+00	1.173437256145329455e+00
1.410000000000000000e+02	9.089240919947314978e+00	1.173437256145329455e+00	3.776827517052292471e+00	1.173437256145329455e+00	5.273970208938530746e+00	1.173437256145329455e+00
1.450000000000000000e+02	1.898857849438055023e+00	1.173437256145329455e+00	9.923129138167285923e-01	1.173437256145329455e+00	1.807060289861333935e+00	1.173437256145329455e+00
1.460000000000000000e+02	4.486930799694010652e+00	1.173437256145329455e+00	3.540165109226285356e+00	1.173437256145329455e+00	4.752830746175513710e+00	1.173437256145329455e+00
1.480000000000000000e+02	3.084547605127919478e+00	1.173437256145329455e+00	2.546376987243137879e+00	1.173437256145329455e+00	4.290510150967769221e+00	1.173437256145329455e+00
1.490000000000000000e+02	1.071115993150816958e+00	1.173437256145329455e+00	9.095352892000265754e-01	1.173437256145329455e+00	2.020584660529638477e+00	1.173437256145329455e+00
